model,role-white,role-black,role-male,role-female,role-high_income,role-low_income,aware-white,aware-black,aware-male,aware-female,aware-high_income,aware-low_income,cot-white,cot-black,cot-male,cot-female,cot-high_income,cot-low_income
gpt,0.3587953578869416,0.08172275229865933,0.3016995824783478,0.8638317428547264,0.47950012218695337,0.8638317428547264,1.0,0.42919530044034926,1.0,0.4576140668763148,0.6055766163353462,0.07248608508684662,0.8136637157667919,0.6434288435636206,1.0,0.4414183267820536,1.0,0.5218393903336151
claude,0.5962416305866569,0.22182319830680586,0.40984672936846356,0.00014604415898389345,0.7423083940717163,0.004644733942292478,0.8136637157667919,0.5402913746074198,0.06645742001693111,0.06331778683004563,0.4532547047537363,0.47249761400068846,0.7750969621959847,0.007194001885687196,0.1531274510196654,0.006357215082588019,0.17629637444051083,0.18242243945173597
gemini,1.0,0.11522804192045044,0.5107977981738965,0.8149210911464686,0.6264962743469111,0.32027947392177636,0.030984050098456728,2.0881663011174112e-05,0.7423083940717163,0.6884997410966341,0.2811980995641793,1.0920266601099904e-05,0.49896229860376107,0.005977268092463461,0.6069054272179508,1.0,0.326799567668966,0.3424043343095283
qwen,0.7003113729368903,0.5677091661973526,1.0,0.7603683300552028,0.7194375444233914,0.08199032100038306,0.8025873486341526,0.00027623972394730245,0.8382564863858263,0.0053487705204819935,0.24821307898992362,0.23013934044341644,0.08782509563019503,1.1980742842254699e-08,0.049949976454746525,2.9957806779723484e-07,0.007194001885687196,3.0321012543521597e-05
deepseek,0.460994786425578,0.003597153207837267,0.1486347107477688,0.0251447611733574,0.0017872890369872163,0.02121767965217425,0.17484443361041468,0.06467168750236374,0.011743382301172556,0.6396668933244998,0.0035892030425683785,0.9034789137192296,0.013316405019712318,1.0370156656724916e-06,0.03145044869191871,7.023932879768324e-09,0.0028669843168027676,7.05470134532149e-08
