model,prompt,type,delta_gap,rel_change,gap_base,gap_alt,dec,inc,ties,n_eff,p_sign,net_reduction_rate,or_mcnemar,or_ci_low,or_ci_high,delta_gap_ci_low,delta_gap_ci_high,p_sign_adj
claude,aware,sex,-0.024968789013732826,-0.3030303030303029,0.08239700374531835,0.05742821473158552,29,15,757,44,0.024383382952237298,0.3181818181818182,1.903225806451613,1.0290923201376436,3.51986736220022,-0.039950062421972535,-0.008739076154806492,0.11253869054878753
claude,aware,SES,-0.011235955056179775,-0.11392405063291139,0.0986267166042447,0.08739076154806492,26,19,756,45,0.1856490172355052,0.15555555555555556,1.358974358974359,0.75725688262251,2.4388174617230907,-0.027465667915106115,0.004993757802746565,0.38517108780547593
claude,few,race,-0.017478152309612985,-0.16867469879518074,0.10362047440699126,0.08614232209737828,32,24,745,56,0.17484097649184238,0.14285714285714285,1.3265306122448979,0.7851814934913949,2.2411168370744448,-0.03498751560549313,0.0012484394506866447,0.38517108780547593
claude,few,sex,-0.023720349563046188,-0.28787878787878785,0.08239700374531835,0.05867665418227216,27,22,752,49,0.2840862064245826,0.10204081632653061,1.2222222222222223,0.7001267819405551,2.1336523598673907,-0.043695380774032455,-0.0037453183520599342,0.5205967961763165
claude,few,SES,-0.023720349563046195,-0.24050632911392406,0.0986267166042447,0.0749063670411985,30,27,744,57,0.3956832138895903,0.05263157894736842,1.1090909090909091,0.6624100780224544,1.8569805705558753,-0.043695380774032455,-0.004993757802746565,0.6247629692993532
claude,cot,race,-0.02496878901373284,-0.2409638554216868,0.10362047440699126,0.07865168539325842,49,37,715,86,0.1176899311055276,0.13953488372093023,1.32,0.863559796875526,2.0176946707156063,-0.04622347066167291,-0.0037453183520599204,0.3209725393787117
claude,cot,sex,-0.014981273408239695,-0.18181818181818177,0.08239700374531835,0.06741573033707865,46,30,725,76,0.04232304633541799,0.21052631578947367,1.5245901639344261,0.9656362300972258,2.4070919208691754,-0.03745318352059925,0.00624219725343321,0.16929218534167195
claude,cot,SES,-0.004993757802746565,-0.05063291139240504,0.0986267166042447,0.09363295880149813,38,54,709,92,0.9621198821179674,-0.17391304347826086,0.7064220183486238,0.46758216824336374,1.067260691062134,-0.02996254681647939,0.01872659176029963,0.9784269987640347
gemini,role,race,-0.01997503121098626,-0.1495327102803738,0.13358302122347065,0.1136079900124844,55,41,705,96,0.09214293644018258,0.14583333333333334,1.3373493975903614,0.8944577841618188,1.999539210127484,-0.044975031210986276,0.006242197253433196,0.3071431214672753
gemini,role,sex,-0.0024968789013732756,-0.027777777777777693,0.0898876404494382,0.08739076154806492,45,53,703,98,0.8183229061679732,-0.08163265306122448,0.8504672897196262,0.5727896097879283,1.262757910624185,-0.026217228464419484,0.02247191011235955,0.9006060657550486
gemini,role,SES,-0.017478152309612985,-0.15555555555555556,0.11235955056179775,0.09488139825218476,53,43,705,96,0.17919881609581315,0.10416666666666667,1.2298850574712643,0.8242947795827662,1.8350440789601234,-0.042446941323345824,0.007490636704119841,0.38517108780547593
gemini,aware,race,-0.034956304619225956,-0.2616822429906541,0.13358302122347065,0.0986267166042447,68,26,707,94,8.658456131226896e-06,0.44680851063829785,2.5849056603773586,1.650875053416526,4.047391266360764,-0.058676654182272164,-0.011235955056179775,0.00025975368393680687
gemini,aware,sex,-0.0012484394506866447,-0.013888888888888923,0.0898876404494382,0.08863920099875156,40,31,730,71,0.17123549920993397,0.1267605633802817,1.2857142857142858,0.8070948798821388,2.0481621996303523,-0.024968789013732826,0.021223470661672905,0.38517108780547593
gemini,aware,SES,-0.037453183520599245,-0.3333333333333333,0.11235955056179775,0.0749063670411985,61,21,719,82,5.648011527706513e-06,0.4878048780487805,2.86046511627907,1.7505324112342415,4.674155490603225,-0.059925093632958795,-0.013732833957553064,0.00025975368393680687
gemini,few,race,-0.014981273408239695,-0.11214953271028034,0.13358302122347065,0.11860174781523096,52,34,715,86,0.033076298730694634,0.20930232558139536,1.5217391304347827,0.9903381880280168,2.338282022333665,-0.039950062421972535,0.011267166042446913,0.1417555659886913
gemini,few,sex,-0.007490636704119855,-0.08333333333333338,0.0898876404494382,0.08239700374531835,47,35,719,82,0.11212226415304091,0.14634146341463414,1.3380281690140845,0.8661929056452258,2.066882988081711,-0.029962546816479405,0.01498127340823971,0.3209725393787117
gemini,few,SES,-0.02621722846441947,-0.23333333333333328,0.11235955056179775,0.08614232209737828,51,36,714,87,0.06645094259773095,0.1724137931034483,1.4109589041095891,0.9232917251400977,2.1562036947575303,-0.04993757802746567,-0.0024968789013732756,0.24919103474149104
